symbol,score,price,rsi,squeeze,volume_spike
ENA/USDT:USDT,6,0.1108,75.32,True,True
OP/USDT:USDT,6,0.123,70.0,True,True
XRP/USDT:USDT,5,1.4033,60.25,True,False
DOGE/USDT:USDT,5,0.09607,55.8,True,False
PIPPIN/USDT:USDT,5,0.35826,51.81,True,False
LINK/USDT:USDT,5,9.219,64.09,True,True
TRUMPOFFICIAL/USDT:USDT,5,2.999,60.56,True,False
NEAR/USDT:USDT,5,1.379,84.25,True,True
ADA/USDT:USDT,5,0.2695,61.87,True,False
BNB/USDT:USDT,5,658.9,67.06,True,True
AVAX/USDT:USDT,5,9.867,64.27,True,True
AAVE/USDT:USDT,5,114.64,58.57,True,True
FARTCOIN/USDT:USDT,5,0.1616,64.31,True,False
LTC/USDT:USDT,5,55.02,69.28,True,False
PUMPFUN/USDT:USDT,5,0.002166,65.22,True,True
WIF/USDT:USDT,5,0.1712,59.7,True,False
DOT/USDT:USDT,5,1.523,58.78,True,True
BCH/USDT:USDT,5,466.37,77.73,True,True
XLM/USDT:USDT,5,0.16135,52.38,True,False
HBAR/USDT:USDT,5,0.09611,51.01,True,False
ARB/USDT:USDT,5,0.1033,72.07,True,False
ROSE/USDT:USDT,5,0.01264,70.67,True,False
VIRTUAL/USDT:USDT,5,0.7433,70.41,True,True
INJ/USDT:USDT,5,3.098,78.31,True,False
BTC/USDT:USDT,4,71080.0,59.47,True,False
ETH/USDT:USDT,4,2107.41,65.36,True,False
SOL/USDT:USDT,4,89.21,64.55,True,False
POWER/USDT:USDT,4,0.12542,58.98,True,False
TAO/USDT:USDT,4,230.51,81.44,False,True
SUI/USDT:USDT,4,1.0165,68.17,True,False
PI/USDT:USDT,4,0.2894,85.65,False,True
PEPE/USDT:USDT,4,3e-06,60.75,True,False
FET/USDT:USDT,4,0.1853,84.07,False,True
WLD/USDT:USDT,4,0.366,60.44,True,False
ENSO/USDT:USDT,4,1.4155,76.1,False,True
APT/USDT:USDT,4,0.9382,38.22,True,True
MYX/USDT:USDT,4,0.3168,37.14,True,False
FILECOIN/USDT:USDT,4,0.888,57.41,False,False
MEME/USDT:USDT,4,0.000613,63.7,True,False
UNI/USDT:USDT,4,4.002,67.67,True,False
